"Tabela 6579 - População residente estimada"
"Variável - População residente estimada (Pessoas)"
"Cód.";"Município";"Ano"
"Cód.";"Município";"2014"
"1100015";"Alta Floresta D'Oeste (RO)";"25652"
"1100023";"Ariquemes (RO)";"102860"
"1100031";"Cabixi (RO)";"6424"
"1100049";"Cacoal (RO)";"86556"
"1100056";"Cerejeiras (RO)";"18013"
"1100064";"Colorado do Oeste (RO)";"19001"
"1100072";"Corumbiara (RO)";"8938"
"1100080";"Costa Marques (RO)";"16258"
"1100098";"Espigão D'Oeste (RO)";"32047"
"1100106";"Guajará-Mirim (RO)";"46203"
"1100114";"Jaru (RO)";"55669"
"1100122";"Ji-Paraná (RO)";"129242"
"1100130";"Machadinho D'Oeste (RO)";"36412"
"1100148";"Nova Brasilândia D'Oeste (RO)";"21511"
"1100155";"Ouro Preto do Oeste (RO)";"40010"
"1100189";"Pimenta Bueno (RO)";"37230"
"1100205";"Porto Velho (RO)";"494013"
"1100254";"Presidente Médici (RO)";"22783"
"1100262";"Rio Crespo (RO)";"3709"
"1100288";"Rolim de Moura (RO)";"55807"
"1100296";"Santa Luzia D'Oeste (RO)";"8706"
"1100304";"Vilhena (RO)";"89797"
"1100320";"São Miguel do Guaporé (RO)";"23803"
"1100338";"Nova Mamoré (RO)";"26925"
"1100346";"Alvorada D'Oeste (RO)";"17228"
"1100379";"Alto Alegre dos Parecis (RO)";"13884"
"1100403";"Alto Paraíso (RO)";"19841"
"1100452";"Buritis (RO)";"37207"
"1100502";"Novo Horizonte do Oeste (RO)";"10393"
"1100601";"Cacaulândia (RO)";"6318"
"1100700";"Campo Novo de Rondônia (RO)";"14081"
"1100809";"Candeias do Jamari (RO)";"23573"
"1100908";"Castanheiras (RO)";"3653"
"1100924";"Chupinguaia (RO)";"9887"
"1100940";"Cujubim (RO)";"20204"
"1101005";"Governador Jorge Teixeira (RO)";"10327"
"1101104";"Itapuã do Oeste (RO)";"9831"
"1101203";"Ministro Andreazza (RO)";"10860"
"1101302";"Mirante da Serra (RO)";"12414"
"1101401";"Monte Negro (RO)";"15710"
"1101435";"Nova União (RO)";"7853"
"1101450";"Parecis (RO)";"5589"
"1101468";"Pimenteiras do Oeste (RO)";"2432"
"1101476";"Primavera de Rondônia (RO)";"3548"
"1101484";"São Felipe D'Oeste (RO)";"6160"
"1101492";"São Francisco do Guaporé (RO)";"18640"
"1101500";"Seringueiras (RO)";"12543"
"1101559";"Teixeirópolis (RO)";"5041"
"1101609";"Theobroma (RO)";"11345"
"1101708";"Urupá (RO)";"13391"
"1101757";"Vale do Anari (RO)";"10682"
"1101807";"Vale do Paraíso (RO)";"8327"
"1200013";"Acrelândia (AC)";"13613"
"1200054";"Assis Brasil (AC)";"6610"
"1200104";"Brasiléia (AC)";"23378"
"1200138";"Bujari (AC)";"9173"
"1200179";"Capixaba (AC)";"10170"
"1200203";"Cruzeiro do Sul (AC)";"80953"
"1200252";"Epitaciolândia (AC)";"16417"
"1200302";"Feijó (AC)";"32398"
"1200328";"Jordão (AC)";"7330"
"1200336";"Mâncio Lima (AC)";"16795"
"1200344";"Manoel Urbano (AC)";"8514"
"1200351";"Marechal Thaumaturgo (AC)";"16380"
"1200385";"Plácido de Castro (AC)";"17979"
"1200393";"Porto Walter (AC)";"10453"
"1200401";"Rio Branco (AC)";"363928"
"1200427";"Rodrigues Alves (AC)";"16475"
"1200435";"Santa Rosa do Purus (AC)";"5593"
"1200450";"Senador Guiomard (AC)";"20992"
"1200500";"Sena Madureira (AC)";"41036"
"1200609";"Tarauacá (AC)";"38201"
"1200708";"Xapuri (AC)";"17317"
"1200807";"Porto Acre (AC)";"16396"
"1300029";"Alvarães (AM)";"15357"
"1300060";"Amaturá (AM)";"10644"
"1300086";"Anamã (AM)";"11981"
"1300102";"Anori (AM)";"18826"
"1300144";"Apuí (AM)";"20258"
"1300201";"Atalaia do Norte (AM)";"17658"
"1300300";"Autazes (AM)";"36301"
"1300409";"Barcelos (AM)";"27273"
"1300508";"Barreirinha (AM)";"30202"
"1300607";"Benjamin Constant (AM)";"38533"
"1300631";"Beruri (AM)";"17755"
"1300680";"Boa Vista do Ramos (AM)";"17248"
"1300706";"Boca do Acre (AM)";"33148"
"1300805";"Borba (AM)";"38688"
"1300839";"Caapiranga (AM)";"12214"
"1300904";"Canutama (AM)";"14944"
"1301001";"Carauari (AM)";"27645"
"1301100";"Careiro (AM)";"35938"
"1301159";"Careiro da Várzea (AM)";"27357"
"1301209";"Coari (AM)";"82209"
"1301308";"Codajás (AM)";"26242"
"1301407";"Eirunepé (AM)";"33580"
"1301506";"Envira (AM)";"18422"
"1301605";"Fonte Boa (AM)";"21295"
"1301654";"Guajará (AM)";"15561"
"1301704";"Humaitá (AM)";"50230"
"1301803";"Ipixuna (AM)";"26118"
"1301852";"Iranduba (AM)";"45250"
"1301902";"Itacoatiara (AM)";"95714"
"1301951";"Itamarati (AM)";"8205"
"1302009";"Itapiranga (AM)";"8864"
"1302108";"Japurá (AM)";"5599"
"1302207";"Juruá (AM)";"12807"
"1302306";"Jutaí (AM)";"16977"
"1302405";"Lábrea (AM)";"42439"
