MS/SAPS/Departamento de Saúde da Família ­ DESF 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
Competência: JUL/2014.
Tipo de Produção: Atendimento Individual.
"Probl/ Condição Avaliada: Asma, Desnutrição, Diabetes, DPOC, Hipertensão arterial, Obesidade, Pré-natal, Puericultura, Puerpério (até 42 dias), Saúde sexual e reprodutiva, Tabagismo, Usuário de álcool, Usuário de outras drogas, Saúde mental, Reabilitação, D.Transmissíveis - Dengue, Doenças transmissíveis - DST, D.Transmissíveis - Hanseníase, D.Transmissíveis - Tuberculose, Rast. câncer de mama, Rast. câncer do colo do útero, Rast. risco cardiovascular."


Uf;Ibge;Municipio;Asma;Desnutrição;Diabetes;DPOC;Hipertensão arterial;Obesidade;Pré-natal;Puericultura;Puerpério (até 42 dias);Saúde sexual e reprodutiva;Tabagismo;Usuário de álcool;Usuário de outras drogas;Saúde mental;Reabilitação;D.Transmissíveis - Dengue;Doenças transmissíveis - DST;D.Transmissíveis - Hanseníase;D.Transmissíveis - Tuberculose;Rast. câncer de mama;Rast. câncer do colo do útero;Rast. risco cardiovascular;
MG;316720;SETE LAGOAS;92;143;916;49;1.951;545;637;621;100;1.186;80;57;41;1.355;1.043;15;99;2;1;737;934;37;
MA;210047;ALTO ALEGRE DO PINDARÉ;8;16;247;4;779;21;264;1.112;15;518;6;4;0;6;668;0;1;19;4;0;30;0;
PB;250480;COREMAS;24;24;229;7;664;19;136;1.282;6;185;19;0;2;259;39;0;15;4;4;1;0;1;
MA;210360;COROATÁ;36;134;456;7;1.040;65;481;728;40;920;2;10;12;270;6;0;34;94;22;5;106;12;
BA;292400;PAULO AFONSO;24;18;535;10;1.613;90;561;570;38;817;44;12;7;539;195;0;6;15;5;90;162;55;
RS;432000;SAPUCAIA DO SUL;68;26;198;33;495;121;109;191;11;289;51;1;5;225;270;0;3;0;5;66;123;22;
BA;292980;SAÚDE;34;10;147;1;534;8;20;495;10;536;2;7;0;245;215;0;3;0;0;3;17;0;
PB;250270;BORBOREMA;0;0;0;0;1;0;1;4;0;7;0;0;0;0;0;0;0;0;0;0;0;0;
PB;251520;SÃO SEBASTIÃO DO UMBUZEIRO;5;0;10;0;21;0;6;0;0;0;0;2;0;5;11;0;0;0;0;2;3;0;
RS;430060;ALVORADA;23;4;37;1;127;13;60;132;4;23;4;1;1;44;124;0;2;0;0;3;13;14;
PB;250470;CONGO;6;0;93;4;366;82;57;102;10;200;3;2;0;7;2;0;0;0;0;4;54;0;
PA;150293;DOM ELISEU;16;31;191;11;669;13;376;939;37;683;8;6;2;119;29;2;15;52;7;20;85;77;
PA;150808;TUCUMÃ;12;4;67;0;183;10;126;142;11;247;4;1;0;21;259;1;0;3;0;0;0;0;
AL;270700;PINDOBA;16;9;13;4;53;2;56;75;8;41;3;3;1;28;207;0;1;0;0;11;16;0;
PI;220810;PIMENTEIRAS;4;9;58;0;174;53;46;36;15;121;7;4;41;66;110;19;6;0;6;25;69;21;
PE;261050;PASSIRA;12;9;126;3;457;25;198;220;18;205;17;3;0;69;31;4;2;1;0;29;90;11;
RN;240930;PATU;10;16;103;2;290;30;125;214;12;251;2;4;0;125;80;0;0;2;10;18;6;28;
MG;311995;CÓRREGO FUNDO;15;12;35;2;143;70;76;44;1;88;9;0;2;369;252;0;0;0;0;18;8;0;
