MS/SAPS/Departamento de Saúde da Família ­ DESF 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
Competência: FEV/2018.
Tipo de Produção: Atendimento Individual.
"Probl/ Condição Avaliada: Asma, Desnutrição, Diabetes, DPOC, Hipertensão arterial, Obesidade, Pré-natal, Puericultura, Puerpério (até 42 dias), Saúde sexual e reprodutiva, Tabagismo, Usuário de álcool, Usuário de outras drogas, Saúde mental, Reabilitação, D.Transmissíveis - Dengue, Doenças transmissíveis - DST, D.Transmissíveis - Hanseníase, D.Transmissíveis - Tuberculose, Rast. câncer de mama, Rast. câncer do colo do útero, Rast. risco cardiovascular."


Uf;Ibge;Municipio;Asma;Desnutrição;Diabetes;DPOC;Hipertensão arterial;Obesidade;Pré-natal;Puericultura;Puerpério (até 42 dias);Saúde sexual e reprodutiva;Tabagismo;Usuário de álcool;Usuário de outras drogas;Saúde mental;Reabilitação;D.Transmissíveis - Dengue;Doenças transmissíveis - DST;D.Transmissíveis - Hanseníase;D.Transmissíveis - Tuberculose;Rast. câncer de mama;Rast. câncer do colo do útero;Rast. risco cardiovascular;
AL;270750;PORTO REAL DO COLÉGIO;3;11;149;3;628;33;177;268;16;447;4;4;1;210;75;0;3;0;1;4;14;1;
AL;270700;PINDOBA;10;10;29;5;146;23;17;96;9;242;0;1;0;30;102;0;1;0;1;15;11;0;
AL;270530;MINADOR DO NEGRÃO;9;4;75;0;210;14;49;66;8;157;7;1;0;47;218;0;0;0;0;8;4;0;
PE;261050;PASSIRA;27;25;679;6;2.006;182;279;512;32;1.059;43;23;4;832;698;10;25;18;8;49;256;4;
MS;500710;RIBAS DO RIO PARDO;10;9;128;4;198;8;201;243;11;104;2;2;1;56;14;1;3;0;4;41;6;0;
RJ;330610;VALENÇA;26;14;317;25;1.023;56;45;235;1;229;36;20;3;293;69;0;3;0;2;56;80;31;
PR;411180;JACAREZINHO;42;49;273;35;562;86;441;318;0;96;26;11;16;472;10.231;0;10;0;5;97;92;0;
MA;210047;ALTO ALEGRE DO PINDARÉ;4;17;115;8;291;5;144;398;17;383;16;6;2;27;614;1;6;12;1;1;17;1;
RS;430060;ALVORADA;139;30;680;61;1.862;298;724;794;51;714;97;20;21;1.522;2.233;1;87;0;17;79;189;44;
MT;510558;MARCELÂNDIA;0;0;23;0;262;77;106;39;3;80;0;0;1;18;1.704;1;0;19;0;4;105;0;
CE;231040;PARAMOTI;6;1;82;0;291;29;74;105;5;170;13;1;0;119;60;1;2;3;0;1;0;0;
MG;316720;SETE LAGOAS;107;104;702;47;1.996;256;559;342;55;860;62;33;16;1.655;561;9;47;2;1;195;515;104;
PE;261220;SALGUEIRO;15;23;231;6;846;102;446;739;15;110;11;5;6;342;50;3;21;3;6;13;0;0;
BA;292400;PAULO AFONSO;19;43;1.011;32;2.430;213;764;804;91;1.110;46;16;4;1.126;587;0;25;6;9;273;443;81;
PA;150808;TUCUMÃ;0;0;25;0;279;0;300;334;16;369;0;1;1;84;891;0;2;3;1;2;21;0;
MG;313865;LONTRA;1;2;38;1;202;7;91;377;4;46;1;6;0;64;197;0;0;1;0;1;9;0;
MG;315340;PRESIDENTE OLEGÁRIO;1;5;54;9;177;14;50;6;2;74;4;2;4;128;319;0;1;0;0;61;118;19;
PI;220350;ELESBÃO VELOSO;4;27;53;2;198;5;75;45;6;206;3;5;0;77;266;0;0;3;0;7;23;3;
PA;150390;JURUTI;5;4;46;2;159;9;381;966;34;428;0;0;0;7;18;0;0;5;3;2;153;6;
MG;312870;GUAXUPÉ;2;2;70;16;260;5;56;4;0;0;5;0;0;99;46;1;3;0;0;8;12;1;
CE;231350;TRAIRI;20;11;432;2;797;11;350;134;8;186;6;6;1;56;454;4;7;1;5;14;24;11;
PB;250215;BOA VISTA;5;3;57;0;164;4;74;73;5;140;1;1;0;152;0;3;0;0;0;3;3;0;
PA;150610;PRIMAVERA;9;5;95;3;242;17;96;128;14;98;3;0;0;78;224;1;3;0;5;1;5;3;
PB;250905;MARCAÇÃO;0;2;32;2;120;3;87;62;1;199;1;1;0;91;20;0;24;0;0;0;25;0;
MA;210360;COROATÁ;2;9;388;13;1.060;13;417;505;28;924;8;3;26;225;210;1;0;15;3;2;31;0;
MA;210005;AÇAILÂNDIA;4;65;256;1;544;24;497;431;15;215;2;6;1;318;17;0;9;17;0;16;25;3;
