MS/SAPS/Departamento de Saúde da Família ­ DESF 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
Competência: MAI/2018.
Tipo de Produção: Atendimento Individual.
"Probl/ Condição Avaliada: Asma, Desnutrição, Diabetes, DPOC, Hipertensão arterial, Obesidade, Pré-natal, Puericultura, Puerpério (até 42 dias), Saúde sexual e reprodutiva, Tabagismo, Usuário de álcool, Usuário de outras drogas, Saúde mental, Reabilitação, D.Transmissíveis - Dengue, Doenças transmissíveis - DST, D.Transmissíveis - Hanseníase, D.Transmissíveis - Tuberculose, Rast. câncer de mama, Rast. câncer do colo do útero, Rast. risco cardiovascular."


Uf;Ibge;Municipio;Asma;Desnutrição;Diabetes;DPOC;Hipertensão arterial;Obesidade;Pré-natal;Puericultura;Puerpério (até 42 dias);Saúde sexual e reprodutiva;Tabagismo;Usuário de álcool;Usuário de outras drogas;Saúde mental;Reabilitação;D.Transmissíveis - Dengue;Doenças transmissíveis - DST;D.Transmissíveis - Hanseníase;D.Transmissíveis - Tuberculose;Rast. câncer de mama;Rast. câncer do colo do útero;Rast. risco cardiovascular;
RJ;330610;VALENÇA;32;10;397;37;1.408;161;96;352;4;416;42;38;8;591;269;1;7;0;3;106;246;40;
MG;316720;SETE LAGOAS;242;150;1.003;77;2.671;359;634;478;75;1.024;91;49;18;2.069;195;4;69;0;3;51;132;18;
PA;150390;JURUTI;4;3;98;9;416;6;362;970;50;217;1;0;0;11;1;1;4;0;1;1;1;1;
MA;210005;AÇAILÂNDIA;17;194;379;4;818;53;352;605;26;191;5;3;6;291;18;0;11;8;5;5;47;2;
MG;311330;CARANGOLA;6;8;171;16;736;8;108;71;12;248;26;14;8;463;34;0;34;0;0;14;32;3;
MA;210047;ALTO ALEGRE DO PINDARÉ;9;10;135;8;375;15;204;569;12;433;13;5;4;15;456;1;6;5;1;0;37;0;
RS;431395;PANTANO GRANDE;21;11;125;30;294;21;16;91;2;34;21;19;19;334;4;0;8;0;2;0;2;4;
RS;430060;ALVORADA;282;27;933;95;2.357;332;755;890;53;856;151;20;11;1.665;612;0;97;0;47;14;32;6;
PA;150307;GARRAFÃO DO NORTE;33;8;93;16;175;12;313;239;31;353;2;0;1;168;1;0;1;2;0;3;3;1;
MS;500710;RIBAS DO RIO PARDO;12;13;140;9;294;4;238;245;9;14;2;6;0;48;0;0;3;1;2;0;0;0;
PR;411800;PARAÍSO DO NORTE;22;3;57;5;106;2;64;81;3;23;1;4;4;122;0;0;15;0;0;0;44;0;
BA;292400;PAULO AFONSO;34;52;1.118;25;2.938;245;788;906;98;1.322;61;31;48;1.123;175;0;36;1;4;35;58;11;
MG;313865;LONTRA;2;2;35;1;101;0;67;290;3;49;1;6;0;33;2;0;0;0;0;0;9;0;
CE;231040;PARAMOTI;13;4;90;5;470;53;102;192;7;256;19;1;2;196;10;0;1;0;0;0;2;2;
AL;270530;MINADOR DO NEGRÃO;4;5;105;0;391;11;60;143;10;127;7;6;0;66;31;0;0;0;1;1;9;0;
PR;410230;BALSA NOVA;14;1;55;10;167;9;116;120;0;1;2;3;0;136;25;0;2;0;1;1;4;0;
PB;250470;CONGO;12;6;40;3;68;6;28;158;0;14;8;2;1;63;0;0;1;1;0;1;0;0;
PE;261050;PASSIRA;45;13;901;9;1.900;129;223;280;38;485;93;50;20;872;79;1;8;2;9;4;16;17;
PB;251520;SÃO SEBASTIÃO DO UMBUZEIRO;6;1;25;18;58;10;30;70;4;60;2;1;0;43;11;0;0;0;0;0;3;0;
SP;352030;IGUAPE;5;0;34;6;117;23;21;29;9;157;10;4;0;20;9;0;11;0;0;2;9;27;
PA;150460;MOCAJUBA;3;17;66;1;178;24;238;703;57;390;14;1;3;30;6;0;2;1;6;6;3;2;
PE;261220;SALGUEIRO;48;37;265;10;1.042;106;294;780;22;176;44;9;10;521;41;6;16;3;1;4;4;0;
PA;150293;DOM ELISEU;2;93;119;1;388;32;255;498;25;298;28;20;17;236;9;2;4;6;4;0;0;0;
MG;317075;VARJÃO DE MINAS;6;8;88;0;260;27;33;65;0;55;6;4;3;369;13;0;0;0;3;0;0;0;
PB;250480;COREMAS;13;27;45;3;167;10;76;640;10;25;4;0;0;150;44;79;3;0;0;2;3;0;
RN;240930;PATU;9;29;62;6;250;25;92;230;12;180;5;2;1;159;6;0;0;0;2;14;14;0;
PR;412520;SÃO JORGE D'OESTE;30;1;20;15;97;18;107;76;2;5;0;7;0;132;0;0;1;0;0;0;79;0;
GO;521180;JARAGUÁ;6;0;40;3;196;16;101;42;1;68;19;0;0;209;0;1;3;3;0;0;2;0;
PE;260415;CASINHAS;20;4;224;4;702;146;141;258;10;408;34;3;1;404;32;0;0;1;1;6;9;0;
MA;210360;COROATÁ;2;10;331;14;1.203;40;478;767;34;942;22;17;54;256;58;0;2;0;2;0;0;0;
PR;411180;JACAREZINHO;24;70;299;13;696;38;491;558;39;134;15;9;6;635;5.422;0;3;0;12;39;173;0;
RJ;330620;VASSOURAS;50;16;298;11;892;125;141;211;13;419;36;5;25;217;171;0;8;0;3;23;37;6;
BA;292205;MULUNGU DO MORRO;4;2;13;0;86;6;185;93;28;266;0;0;0;24;0;0;39;0;0;3;38;1;
BA;292980;SAÚDE;1;5;36;3;133;24;12;41;3;46;2;4;1;33;2;0;0;0;0;0;2;0;
PB;250215;BOA VISTA;12;5;84;1;209;4;74;70;7;161;7;1;0;181;0;5;0;0;0;2;1;0;
MG;312870;GUAXUPÉ;4;6;130;5;235;4;54;4;0;3;22;0;6;123;4;0;4;0;1;14;11;0;
PA;150808;TUCUMÃ;29;3;102;1;284;5;313;487;28;358;6;5;0;149;172;0;1;2;1;0;1;0;
PB;251274;RIACHÃO;11;3;40;6;151;4;42;80;2;95;1;0;2;94;12;1;7;0;0;0;1;0;
MG;313950;MANHUMIRIM;14;2;58;6;198;9;72;113;4;93;22;2;4;161;54;0;2;0;2;0;0;0;
MT;510558;MARCELÂNDIA;2;0;19;1;331;3;119;9;7;114;50;0;0;49;173;0;3;1;1;0;15;0;
BA;292320;OLIVEIRA DOS BREJINHOS;0;3;45;4;132;12;126;140;15;269;1;6;0;28;0;4;1;0;0;10;19;1;
MG;315290;PRATÁPOLIS;6;5;20;5;50;20;30;3;1;15;1;1;0;21;14;0;0;0;0;0;1;0;
PI;220690;NOVO ORIENTE DO PIAUÍ;0;0;0;0;0;0;15;4;5;4;0;0;0;0;3;0;0;0;0;1;1;0;
PI;220810;PIMENTEIRAS;1;3;36;0;79;4;14;19;4;9;0;0;0;78;52;0;0;0;0;0;0;0;
AL;270750;PORTO REAL DO COLÉGIO;10;13;224;15;988;9;202;462;26;558;5;0;0;182;7;1;0;0;0;9;11;3;
RR;140017;CANTÁ;7;0;41;12;82;6;43;215;1;26;5;2;0;3;0;0;3;0;3;0;0;0;
RS;432000;SAPUCAIA DO SUL;130;35;356;37;755;81;140;407;5;18;38;8;7;679;6;0;21;0;9;1;8;0;
CE;230535;ICAPUÍ;9;25;197;13;508;98;158;141;28;363;22;9;3;669;33;0;10;0;4;12;8;0;
PB;250905;MARCAÇÃO;5;3;12;2;87;2;52;36;7;115;0;1;0;30;1;0;19;0;0;0;4;0;
MA;211125;SÃO JOSÉ DOS BASÍLIOS;39;7;27;2;119;11;40;149;5;56;2;2;0;69;25;1;8;0;0;2;0;1;
MG;311995;CÓRREGO FUNDO;23;22;88;4;255;36;6;56;3;162;8;4;0;267;51;0;0;0;0;6;10;0;
PI;220920;SANTA FILOMENA;0;76;7;1;56;2;64;6;2;9;0;0;3;19;0;0;10;3;0;0;0;0;
MG;315340;PRESIDENTE OLEGÁRIO;12;3;74;11;201;9;50;7;0;97;6;5;1;244;57;0;0;0;0;6;4;10;
BA;292935;SÃO JOSÉ DA VITÓRIA;7;6;52;2;133;13;71;108;5;53;0;1;0;100;130;1;0;0;0;0;9;1;
PE;261618;VERTENTE DO LÉRIO;4;1;54;2;244;12;66;126;6;173;4;2;0;206;52;0;0;0;0;2;0;0;
