MS/SAPS/Departamento de Saúde da Família ­ DESF 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
Competência: NOV/2018.
Tipo de Produção: Atendimento Individual.
"Probl/ Condição Avaliada: Asma, Desnutrição, Diabetes, DPOC, Hipertensão arterial, Obesidade, Pré-natal, Puericultura, Puerpério (até 42 dias), Saúde sexual e reprodutiva, Tabagismo, Usuário de álcool, Usuário de outras drogas, Saúde mental, Reabilitação, D.Transmissíveis - Dengue, Doenças transmissíveis - DST, D.Transmissíveis - Hanseníase, D.Transmissíveis - Tuberculose, Rast. câncer de mama, Rast. câncer do colo do útero, Rast. risco cardiovascular."


Uf;Ibge;Municipio;Asma;Desnutrição;Diabetes;DPOC;Hipertensão arterial;Obesidade;Pré-natal;Puericultura;Puerpério (até 42 dias);Saúde sexual e reprodutiva;Tabagismo;Usuário de álcool;Usuário de outras drogas;Saúde mental;Reabilitação;D.Transmissíveis - Dengue;Doenças transmissíveis - DST;D.Transmissíveis - Hanseníase;D.Transmissíveis - Tuberculose;Rast. câncer de mama;Rast. câncer do colo do útero;Rast. risco cardiovascular;
MT;510558;MARCELÂNDIA;0;4;16;1;56;6;157;177;3;48;0;0;0;100;910;0;2;8;0;14;34;2;
AL;270750;PORTO REAL DO COLÉGIO;8;7;208;1;759;54;195;285;25;500;5;2;0;117;114;0;1;1;1;7;31;0;
PE;261050;PASSIRA;28;20;672;9;1.628;140;219;539;30;473;58;15;4;816;328;2;9;10;15;43;138;243;
AL;270530;MINADOR DO NEGRÃO;3;4;78;0;256;18;50;170;3;134;1;4;0;22;126;0;0;0;0;8;26;2;
PA;150460;MOCAJUBA;1;3;59;1;140;9;187;951;57;362;8;1;3;14;83;0;1;2;3;5;9;0;
PB;251274;RIACHÃO;2;18;44;5;179;17;46;85;8;63;1;3;0;134;78;0;0;0;0;0;2;0;
PR;411180;JACAREZINHO;50;34;514;46;1.040;78;658;218;24;360;52;22;44;842;6.906;0;8;8;8;310;222;24;
PE;261618;VERTENTE DO LÉRIO;2;8;90;2;202;19;61;109;3;175;5;0;1;147;84;0;1;0;0;2;7;1;
CE;230535;ICAPUÍ;10;14;224;12;504;202;175;147;17;364;20;8;4;798;229;0;2;2;17;59;49;6;
BA;292400;PAULO AFONSO;23;46;719;19;1.948;133;737;1.609;56;796;13;6;6;866;532;1;43;5;5;144;229;25;
PA;150307;GARRAFÃO DO NORTE;12;15;114;9;264;22;313;343;29;374;12;6;0;213;11;0;3;8;1;9;5;17;
PI;220855;PORTO ALEGRE DO PIAUÍ;0;1;12;0;55;5;38;154;3;9;0;0;0;33;39;0;1;0;0;0;0;0;
MG;311330;CARANGOLA;2;4;123;0;423;11;55;37;7;128;8;2;1;146;160;0;2;0;1;48;49;0;
MA;210360;COROATÁ;3;5;154;6;424;10;297;454;46;681;5;0;6;89;280;1;2;19;6;1;18;0;
RS;430060;ALVORADA;151;19;609;65;1.942;199;666;897;42;623;101;8;14;1.412;1.847;0;79;0;5;68;114;15;
SC;421720;SÃO MIGUEL DO OESTE;32;5;72;19;214;131;94;78;12;243;21;15;0;612;702;2;13;1;3;69;108;98;
MG;313950;MANHUMIRIM;2;2;57;12;216;12;85;67;4;98;13;2;2;107;258;0;2;0;16;3;12;5;
MG;315290;PRATÁPOLIS;3;2;54;4;174;20;32;9;1;21;3;1;0;127;130;0;3;0;0;2;27;0;
RS;432000;SAPUCAIA DO SUL;53;32;306;25;545;74;275;1.102;9;165;30;17;17;486;17;0;43;1;23;1;21;0;
PB;250470;CONGO;1;3;28;0;47;2;60;206;0;132;2;1;0;20;0;0;3;0;1;0;0;0;
PB;250230;BOM SUCESSO;1;3;8;0;43;12;23;42;3;40;0;1;0;89;3;0;2;0;0;12;32;0;
SP;352030;IGUAPE;7;1;77;8;221;37;43;51;3;206;9;11;1;84;36;0;10;0;5;7;17;35;
MG;316720;SETE LAGOAS;52;51;331;17;895;114;252;144;11;193;32;13;6;576;165;6;28;0;1;52;191;35;
MG;313865;LONTRA;3;6;38;3;167;16;48;278;8;25;2;0;0;98;20;0;0;0;1;3;7;0;
