MS/SAPS/Departamento de Saúde da Família ­ DESF 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
Competência: MAR/2019.
Tipo de Produção: Atendimento Individual.
"Probl/ Condição Avaliada: Asma, Desnutrição, Diabetes, DPOC, Hipertensão arterial, Obesidade, Pré-natal, Puericultura, Puerpério (até 42 dias), Saúde sexual e reprodutiva, Tabagismo, Usuário de álcool, Usuário de outras drogas, Saúde mental, Reabilitação, D.Transmissíveis - Dengue, Doenças transmissíveis - DST, D.Transmissíveis - Hanseníase, D.Transmissíveis - Tuberculose, Rast. câncer de mama, Rast. câncer do colo do útero, Rast. risco cardiovascular."


Uf;Ibge;Municipio;Asma;Desnutrição;Diabetes;DPOC;Hipertensão arterial;Obesidade;Pré-natal;Puericultura;Puerpério (até 42 dias);Saúde sexual e reprodutiva;Tabagismo;Usuário de álcool;Usuário de outras drogas;Saúde mental;Reabilitação;D.Transmissíveis - Dengue;Doenças transmissíveis - DST;D.Transmissíveis - Hanseníase;D.Transmissíveis - Tuberculose;Rast. câncer de mama;Rast. câncer do colo do útero;Rast. risco cardiovascular;
PR;411800;PARAÍSO DO NORTE;1;1;12;1;4;2;32;18;1;0;1;0;0;10;0;0;0;0;0;3;3;0;
PE;261050;PASSIRA;14;21;536;6;1.430;99;185;333;20;374;44;6;1;527;344;1;8;1;4;34;21;182;
CE;230535;ICAPUÍ;10;10;83;8;251;60;145;81;23;245;12;0;2;602;102;0;1;0;8;15;19;2;
PE;261220;SALGUEIRO;15;39;262;4;854;135;563;1.261;6;122;8;8;3;525;11;72;15;4;17;9;3;9;
RJ;330610;VALENÇA;51;22;258;11;880;111;24;181;0;124;44;31;3;395;208;1;10;0;0;7;26;9;
RS;432000;SAPUCAIA DO SUL;70;35;290;30;575;86;371;1.176;10;202;84;14;17;636;12;1;50;0;19;2;17;2;
AM;130008;ANAMÃ;2;4;47;0;73;5;83;302;2;86;0;0;0;12;13;0;7;0;1;2;3;0;
PI;220810;PIMENTEIRAS;0;0;22;1;68;5;26;15;8;96;0;0;0;67;92;0;1;1;0;0;0;0;
MA;210005;AÇAILÂNDIA;4;212;258;2;451;41;675;1.149;20;216;2;2;0;168;29;0;15;6;2;1;1;0;
RN;240930;PATU;3;11;41;5;87;7;63;90;20;137;2;1;1;50;82;0;0;4;4;14;7;0;
TO;170030;AGUIARNÓPOLIS;1;8;42;0;123;15;56;122;4;21;1;0;0;26;78;1;1;0;0;0;1;0;
GO;521180;JARAGUÁ;2;5;85;14;256;12;115;89;17;117;14;1;5;491;165;19;1;5;2;2;16;0;
AL;270700;PINDOBA;3;1;33;4;116;13;18;103;0;105;0;0;0;53;44;0;1;0;0;8;11;0;
MG;311330;CARANGOLA;1;3;99;1;523;16;48;98;7;95;7;10;2;248;225;0;8;0;0;39;47;5;
MG;310550;BARÃO DE MONTE ALTO;0;1;1;1;4;8;17;11;1;21;1;1;1;27;30;0;1;0;0;2;16;0;
MG;313950;MANHUMIRIM;3;8;121;14;486;31;131;120;13;197;18;3;2;278;276;0;10;0;18;1;24;3;
PA;150390;JURUTI;2;5;86;2;193;21;342;1.469;39;201;2;0;0;7;47;0;0;2;4;3;18;0;
SC;421720;SÃO MIGUEL DO OESTE;15;13;70;14;170;97;115;86;9;160;19;15;1;588;561;8;10;2;3;34;29;59;
PI;220855;PORTO ALEGRE DO PIAUÍ;5;24;15;0;42;3;41;84;5;1;0;0;0;12;23;0;4;0;0;0;0;0;
BA;292980;SAÚDE;9;7;116;3;260;36;39;77;9;189;11;6;1;57;33;0;2;2;0;7;40;1;
BA;292400;PAULO AFONSO;26;72;930;14;2.148;110;717;1.348;63;493;29;8;3;866;624;2;19;4;17;77;153;5;
MA;210360;COROATÁ;35;13;159;8;520;5;236;503;20;769;15;14;1;56;378;1;2;13;1;0;1;0;
AL;270530;MINADOR DO NEGRÃO;0;0;46;0;117;10;36;61;2;123;1;1;3;23;88;0;0;0;0;0;0;0;
MS;500710;RIBAS DO RIO PARDO;12;11;99;8;142;4;105;206;5;26;4;1;0;38;4;56;2;1;5;1;29;0;
SP;350830;CABRÁLIA PAULISTA;10;4;44;2;94;19;11;65;1;18;3;1;2;76;792;4;0;1;0;4;9;51;
SC;421260;PERITIBA;3;1;10;1;18;12;18;14;2;18;1;4;2;93;3;0;0;0;0;9;18;3;
RS;430060;ALVORADA;204;19;636;54;1.624;163;643;861;46;868;68;23;12;1.368;2.032;0;118;0;9;99;269;15;
AL;270750;PORTO REAL DO COLÉGIO;3;12;137;1;599;115;135;192;22;313;23;1;2;182;82;0;2;0;3;6;15;0;
PR;411180;JACAREZINHO;31;13;241;10;537;12;367;100;22;316;17;15;16;552;4.813;16;4;0;0;133;294;9;
MG;310130;ALAGOA;3;1;37;7;135;8;13;15;0;2;8;2;0;62;108;0;0;1;0;0;0;0;
MG;316720;SETE LAGOAS;55;67;327;17;953;119;284;272;14;176;13;16;5;797;235;158;20;3;0;28;88;16;
MG;315290;PRATÁPOLIS;1;2;49;5;194;25;36;10;1;18;0;1;0;154;135;1;0;1;0;0;18;1;
BA;292205;MULUNGU DO MORRO;3;2;21;1;146;2;128;216;7;236;3;2;1;40;4;1;0;0;2;18;33;0;
PR;410230;BALSA NOVA;5;4;52;1;224;11;106;215;2;32;17;3;0;98;0;0;1;0;1;0;0;0;
BA;292320;OLIVEIRA DOS BREJINHOS;2;2;56;1;140;32;123;140;15;155;5;6;2;60;66;0;2;0;4;2;70;1;
PB;250480;COREMAS;7;24;57;1;123;6;93;667;6;4;13;0;0;135;120;0;0;1;0;4;3;1;
CE;231040;PARAMOTI;2;5;69;4;194;39;48;111;2;212;6;0;0;133;52;0;0;3;1;0;10;0;
MG;315340;PRESIDENTE OLEGÁRIO;2;6;98;7;223;40;27;101;1;147;5;5;1;179;172;29;2;1;0;94;25;1;
PA;150610;PRIMAVERA;9;8;86;5;167;2;77;103;10;105;3;2;3;86;165;0;1;2;3;4;34;8;
MA;210047;ALTO ALEGRE DO PINDARÉ;1;3;156;1;384;9;178;374;13;517;6;9;1;43;506;0;3;20;5;7;195;3;
PB;250905;MARCAÇÃO;2;0;13;0;79;7;98;214;1;103;3;0;0;71;23;0;0;0;0;11;10;1;
PA;150293;DOM ELISEU;3;20;103;0;263;18;265;631;24;235;3;4;1;175;9;10;5;27;4;0;57;0;
PE;260415;CASINHAS;2;3;180;3;565;103;116;157;13;242;3;0;0;258;239;3;3;0;0;39;73;0;
PA;150808;TUCUMÃ;15;0;82;3;271;18;294;196;4;293;0;0;0;118;443;4;1;3;0;0;0;0;
PI;220350;ELESBÃO VELOSO;5;6;74;7;281;6;103;42;9;162;6;2;2;102;102;0;1;1;0;5;12;2;
MG;312870;GUAXUPÉ;3;2;110;12;163;3;140;5;7;4;5;1;7;137;2;0;2;0;0;14;44;1;
MG;311995;CÓRREGO FUNDO;9;8;49;11;136;18;20;107;1;1;3;2;0;202;26;0;0;0;0;0;0;0;
PR;411820;PARANAGUÁ;7;20;115;0;248;14;178;114;21;53;5;1;2;62;54;0;1;0;36;86;188;9;
PA;150460;MOCAJUBA;2;6;47;1;130;7;139;775;58;373;5;0;6;36;106;0;0;0;1;14;0;0;
PB;250470;CONGO;3;1;26;1;40;2;43;193;1;56;1;1;0;20;0;0;2;0;3;1;0;0;
PE;261618;VERTENTE DO LÉRIO;4;4;50;1;266;26;60;101;6;145;15;0;1;250;160;0;0;0;17;14;51;0;
PA;150307;GARRAFÃO DO NORTE;9;1;41;1;139;2;213;265;17;250;2;1;4;102;34;0;0;6;0;1;14;4;
PB;251520;SÃO SEBASTIÃO DO UMBUZEIRO;0;0;1;0;5;0;26;120;0;19;2;0;0;19;16;0;2;0;0;0;0;0;
SP;352030;IGUAPE;3;0;54;9;159;5;77;81;12;167;0;0;2;61;179;0;2;0;1;8;2;3;
SC;420270;BOTUVERÁ;6;15;38;7;74;27;1;21;0;14;9;0;0;76;49;0;0;0;0;1;12;0;
TO;170300;BABAÇULÂNDIA;6;1;30;5;74;1;43;138;7;11;0;0;0;9;120;7;2;0;0;0;0;1;
BA;292467;PIRAÍ DO NORTE;2;1;21;1;49;12;59;53;7;42;2;1;0;17;0;0;1;0;0;0;0;2;
MG;313865;LONTRA;0;3;17;3;99;7;27;115;1;2;0;0;0;29;1;30;1;0;0;1;3;0;
PR;412520;SÃO JORGE D'OESTE;0;0;6;2;9;0;104;76;1;0;0;0;0;6;0;0;0;0;0;0;106;0;
TO;170130;ARAGOMINAS;2;1;38;0;136;6;51;88;4;73;0;1;0;75;329;0;1;8;0;3;21;0;
MG;310520;BANDEIRA;0;4;6;0;10;0;29;92;1;11;0;1;0;38;16;0;0;0;0;0;0;0;
RJ;330620;VASSOURAS;7;7;153;4;431;55;125;199;20;264;8;5;1;81;462;1;5;0;0;110;154;12;
BA;292935;SÃO JOSÉ DA VITÓRIA;5;6;59;2;141;20;53;54;9;50;0;0;1;77;27;0;1;0;0;6;16;2;
RO;110094;CUJUBIM;2;12;40;1;108;27;146;100;0;22;9;0;1;70;0;3;0;0;0;0;0;0;
MG;316120;SÃO FRANCISCO DE PAULA;4;10;45;9;98;44;24;213;3;75;17;8;2;80;25;0;0;0;0;12;57;1;
PB;250215;BOA VISTA;2;0;36;1;97;6;20;79;1;73;1;2;0;8;0;0;2;0;0;0;2;0;
RN;240550;JARDIM DE ANGICOS;3;2;5;0;13;0;12;35;0;14;0;1;0;65;5;0;1;0;0;0;0;0;
PR;411690;NOVA ESPERANÇA;4;3;16;4;46;1;48;49;0;0;1;1;1;69;0;8;1;1;0;0;3;0;
MT;510125;ARAPUTANGA;3;15;31;1;67;10;96;58;0;9;3;0;0;74;0;0;1;1;0;14;3;0;
PR;411275;JESUÍTAS;0;2;11;0;28;0;76;6;1;0;0;0;0;88;207;0;0;2;1;25;34;0;
MG;317075;VARJÃO DE MINAS;5;9;34;5;102;23;34;98;5;10;19;8;0;270;47;0;0;0;0;1;0;0;
PB;251274;RIACHÃO;3;0;18;0;87;19;25;34;2;50;0;0;0;67;79;0;0;0;0;0;0;0;
MT;510558;MARCELÂNDIA;0;12;12;0;37;1;64;171;0;14;0;0;0;10;0;0;0;1;4;0;0;0;
GO;521100;ITAPIRAPUÃ;4;1;19;0;35;5;25;5;0;14;15;4;0;41;122;5;0;1;0;0;9;0;
MG;311540;CATAS ALTAS DA NORUEGA;6;4;29;0;35;11;39;82;0;3;1;5;0;58;3;0;0;0;0;0;0;0;
MG;316880;TIRADENTES;0;0;26;1;22;25;0;0;0;40;0;1;0;16;1;0;0;0;0;0;0;0;
MG;314640;PAINEIRAS;2;0;14;3;34;17;2;3;0;5;14;3;0;181;59;1;0;0;0;1;1;0;
RS;431395;PANTANO GRANDE;1;3;41;2;52;24;54;84;14;39;0;0;2;46;27;0;25;0;2;8;7;14;
SP;350250;APARECIDA;0;0;48;3;679;10;127;79;4;38;7;4;3;63;75;1;1;1;22;2;4;3;
CE;231350;TRAIRI;77;21;613;7;777;99;355;126;16;216;7;1;0;70;539;16;2;3;6;17;38;4;
MA;211125;SÃO JOSÉ DOS BASÍLIOS;0;6;6;0;39;9;38;55;1;23;0;0;0;38;102;0;0;0;0;6;28;0;
SC;420800;ITÁ;5;0;0;0;0;0;0;1;0;0;0;0;0;16;166;0;0;0;0;0;0;0;
RR;140017;CANTÁ;1;1;11;0;23;1;15;39;1;57;1;0;0;0;12;0;0;0;0;0;24;0;
SP;354165;QUADRA;0;0;0;0;0;0;21;13;0;0;0;0;0;52;0;0;0;0;0;0;0;0;
PR;410185;ARIRANHA DO IVAÍ;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
PB;250270;BORBOREMA;0;0;7;0;14;10;16;25;0;32;0;1;0;26;51;0;0;0;0;10;18;0;
