MS/SAPS/Departamento de Saúde da Família ­ DESF 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
Competência: DEZ/2019.
Tipo de Produção: Atendimento Individual.
"Probl/ Condição Avaliada: Asma, Desnutrição, Diabetes, DPOC, Hipertensão arterial, Obesidade, Pré-natal, Puericultura, Puerpério (até 42 dias), Saúde sexual e reprodutiva, Tabagismo, Usuário de álcool, Usuário de outras drogas, Saúde mental, Reabilitação, D.Transmissíveis - Dengue, Doenças transmissíveis - DST, D.Transmissíveis - Hanseníase, D.Transmissíveis - Tuberculose, Rast. câncer de mama, Rast. câncer do colo do útero, Rast. risco cardiovascular."


Uf;Ibge;Municipio;Asma;Desnutrição;Diabetes;DPOC;Hipertensão arterial;Obesidade;Pré-natal;Puericultura;Puerpério (até 42 dias);Saúde sexual e reprodutiva;Tabagismo;Usuário de álcool;Usuário de outras drogas;Saúde mental;Reabilitação;D.Transmissíveis - Dengue;Doenças transmissíveis - DST;D.Transmissíveis - Hanseníase;D.Transmissíveis - Tuberculose;Rast. câncer de mama;Rast. câncer do colo do útero;Rast. risco cardiovascular;
RJ;330185;GUAPIMIRIM;6;4;92;4;484;13;102;65;3;308;8;5;2;204;182;0;6;0;0;0;12;0;
MG;311360;CAREAÇU;9;2;38;3;74;3;21;89;1;3;3;4;2;137;85;0;1;0;0;14;15;1;
RJ;330490;SÃO GONÇALO;256;187;3.899;433;13.422;1.599;1.538;3.494;100;1.384;458;203;85;3.251;22.711;3;106;0;7;109;168;131;
RN;240390;FRANCISCO DANTAS;0;0;2;0;0;3;18;32;2;45;0;0;0;1;26;0;0;0;0;0;0;0;
AM;130440;URUCURITUBA;19;50;120;11;250;33;146;861;22;353;18;11;9;164;219;0;12;0;1;3;4;1;
ES;320120;CACHOEIRO DE ITAPEMIRIM;113;45;1.627;67;4.584;291;851;1.358;52;2.651;99;35;55;3.452;1.013;5;64;0;49;403;449;116;
GO;520393;BURITI DE GOIÁS;1;0;42;0;226;117;7;77;1;21;1;0;1;22;69;0;0;1;0;0;9;0;
SC;420500;DIONÍSIO CERQUEIRA;4;5;24;4;73;24;87;10;5;69;35;2;0;144;335;0;1;1;1;4;8;0;
RS;431570;RIO PARDO;11;24;90;19;115;18;174;568;3;94;2;1;1;88;0;0;5;0;0;0;45;0;
SC;420940;LAGUNA;8;6;65;3;79;8;64;1.441;3;5;3;5;12;720;37;0;6;0;0;0;1;2;
PA;150470;MOJU;2;8;112;5;275;5;257;395;39;355;0;1;1;272;262;1;0;4;0;0;24;0;
MG;315670;SABARÁ;34;22;230;13;700;53;347;195;2;68;10;8;1;243;176;4;15;1;12;10;209;0;
PE;261380;SÃO VICENTE FERRER;7;13;262;1;642;18;177;617;2;111;1;0;2;379;276;0;5;0;1;1;1;3;
SP;353400;ONDA VERDE;0;1;11;1;16;0;21;92;1;2;1;0;1;103;51;0;2;0;0;0;18;0;
MG;316150;SÃO GERALDO;8;26;94;7;210;43;37;66;1;36;5;1;0;156;110;0;1;0;0;13;9;0;
AC;120040;RIO BRANCO;76;95;697;48;2.147;172;1.901;1.389;104;4.482;60;13;20;1.046;2.374;16;285;3;48;59;908;8;
SC;421568;SANTA TEREZINHA DO PROGRESSO;5;7;34;13;43;19;16;170;3;5;5;9;0;96;11;0;2;2;0;4;1;0;
RS;430595;COTIPORÃ;0;0;0;0;7;0;5;18;0;0;0;3;0;43;0;0;0;0;0;1;0;0;
PB;250580;DUAS ESTRADAS;3;2;16;0;56;7;23;26;1;99;1;0;1;225;29;0;0;0;0;0;2;0;
SP;350920;CAJAMAR;46;28;794;43;1.424;107;585;1.317;48;1.188;49;20;7;474;297;0;7;0;2;39;247;21;
SP;352670;LEME;34;31;220;5;483;44;262;275;29;946;5;1;0;214;182;2;51;2;8;296;646;23;
PR;410440;CÂNDIDO DE ABREU;1;2;19;3;94;0;78;63;6;8;1;3;0;32;1;0;2;0;0;6;6;0;
SP;353160;MONTE CASTELO;0;2;8;0;7;2;16;15;3;3;0;1;0;10;0;3;0;0;0;0;0;0;
SP;352430;JABOTICABAL;14;21;315;8;478;70;168;278;11;148;22;5;3;151;517;17;31;0;0;90;292;24;
MG;311930;COROMANDEL;2;10;76;101;310;30;80;53;0;28;9;8;0;218;271;4;7;0;0;7;1;4;
MT;510268;CAMPOS DE JÚLIO;0;2;10;0;35;19;80;31;9;43;3;0;2;68;7;7;14;3;0;1;25;0;
BA;291470;ITABERABA;10;35;180;4;521;44;388;764;6;157;11;11;4;112;16;0;15;10;8;0;11;0;
PI;220777;PATOS DO PIAUÍ;0;16;43;1;161;9;28;75;5;50;0;0;0;63;246;0;2;4;4;1;1;1;
PA;150090;AUGUSTO CORRÊA;8;54;218;7;340;12;298;360;12;374;7;4;3;180;42;0;14;0;5;4;12;65;
RS;430583;COQUEIRO BAIXO;0;0;42;9;76;22;10;309;0;43;0;0;0;42;143;0;0;0;0;17;18;0;
RN;241440;TOUROS;25;16;180;4;311;36;227;409;27;314;8;3;0;307;334;0;4;0;4;6;31;3;
PR;410600;CONGONHINHAS;0;0;0;0;0;0;35;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;
PR;412840;URAÍ;19;3;69;3;76;27;47;135;0;84;1;2;1;78;279;1;1;0;0;0;2;9;
SP;352140;IRACEMÁPOLIS;9;28;106;3;252;46;89;362;2;11;2;0;2;158;0;0;1;0;0;15;128;0;
RJ;330410;PORCIÚNCULA;0;12;190;2;402;3;9;333;3;5;0;2;0;39;12;0;2;0;1;0;0;0;
BA;292460;PINDOBAÇU;1;13;70;0;119;45;123;324;4;48;2;2;0;110;11;0;3;4;4;5;13;3;
SP;353040;MIRASSOLÂNDIA;5;3;89;7;26;2;37;135;0;4;0;5;1;224;0;0;1;1;1;0;19;0;
MG;312825;GUARACIAMA;0;3;7;0;11;28;27;339;0;3;0;0;0;1;335;0;0;0;0;0;0;0;
RS;430915;GRAMADO XAVIER;0;6;6;3;37;3;30;35;1;16;1;0;0;37;30;0;0;0;0;0;0;0;
PR;412125;RAMILÂNDIA;4;1;11;1;14;3;40;44;0;18;0;1;1;17;0;0;1;0;0;0;14;0;
MG;316500;SÃO TIAGO;5;27;37;8;81;64;61;24;1;2;5;2;0;123;105;0;0;0;0;21;22;2;
RN;241140;SANTANA DO MATOS;1;4;37;0;83;3;26;43;2;101;0;1;0;139;155;0;0;0;0;0;0;0;
GO;520013;ACREÚNA;1;45;67;2;227;3;58;27;2;90;55;52;50;172;129;0;4;12;1;0;4;0;
CE;230450;FRECHEIRINHA;0;3;84;1;181;8;104;75;0;67;1;3;2;460;136;0;0;1;0;1;8;0;
TO;171790;PONTE ALTA DO TOCANTINS;4;2;17;3;113;0;53;21;0;36;1;0;0;110;109;1;1;3;2;0;0;0;
MA;211120;SÃO JOSÉ DE RIBAMAR;33;18;691;13;1.585;61;894;1.380;45;2.515;22;7;4;281;511;0;67;64;25;71;182;16;
