MS/SAPS/Departamento de Saúde da Família ­ DESF 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
Competência: AGO/2020.
Tipo de Produção: Atendimento Individual.
"Probl/ Condição Avaliada: Asma, Desnutrição, Diabetes, DPOC, Hipertensão arterial, Obesidade, Pré-natal, Puericultura, Puerpério (até 42 dias), Saúde sexual e reprodutiva, Tabagismo, Usuário de álcool, Usuário de outras drogas, Saúde mental, Reabilitação, D.Transmissíveis - Dengue, Doenças transmissíveis - DST, D.Transmissíveis - Hanseníase, D.Transmissíveis - Tuberculose, Rast. câncer de mama, Rast. câncer do colo do útero, Rast. risco cardiovascular."


Uf;Ibge;Municipio;Asma;Desnutrição;Diabetes;DPOC;Hipertensão arterial;Obesidade;Pré-natal;Puericultura;Puerpério (até 42 dias);Saúde sexual e reprodutiva;Tabagismo;Usuário de álcool;Usuário de outras drogas;Saúde mental;Reabilitação;D.Transmissíveis - Dengue;Doenças transmissíveis - DST;D.Transmissíveis - Hanseníase;D.Transmissíveis - Tuberculose;Rast. câncer de mama;Rast. câncer do colo do útero;Rast. risco cardiovascular;
SP;353440;OSASCO;96;97;2.902;52;5.905;152;2.496;2.357;3;1;4;15;10;1.071;0;1;40;0;48;16;1.970;4;
MG;314850;PAVÃO;2;2;18;0;134;3;36;56;2;17;3;0;0;43;13;0;0;0;0;0;0;1;
SC;420395;CAPIVARI DE BAIXO;28;15;84;12;109;18;199;8.823;40;56;0;2;5;273;0;0;20;0;0;2;0;4;
AL;270840;SÃO JOSÉ DA TAPERA;30;11;295;21;999;14;497;268;37;1.616;36;4;1;771;78;2;3;2;1;1;0;1;
BA;290160;ANTAS;3;9;42;0;112;11;83;28;2;92;2;1;1;135;124;1;4;0;2;1;11;2;
CE;231370;UMARI;1;2;27;1;144;6;38;121;2;65;9;0;16;237;42;0;0;1;1;3;1;0;
BA;291460;IRECÊ;29;7;577;16;1.468;113;811;428;45;551;51;13;6;412;200;12;19;15;23;116;342;20;
BA;292600;REMANSO;3;15;130;7;510;7;255;367;2;128;1;7;1;200;0;0;3;0;0;25;63;0;
AM;130140;EIRUNEPÉ;10;26;161;9;558;10;393;237;4;232;4;2;2;276;666;8;60;2;3;0;9;0;
TO;171840;PRESIDENTE KENNEDY;1;1;26;0;20;3;25;54;3;1;1;2;0;111;188;0;2;0;0;0;0;0;
MG;312940;IBERTIOGA;11;20;78;22;167;18;50;193;4;20;3;10;2;52;0;0;2;0;0;0;43;0;
BA;290350;BELO CAMPO;6;6;94;4;278;14;164;336;10;115;12;7;0;73;3;0;0;0;0;0;9;0;
