MS/SAPS/Departamento de Saúde da Família ­ DESF 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
Competência: SET/2020.
Tipo de Produção: Atendimento Individual.
"Probl/ Condição Avaliada: Asma, Desnutrição, Diabetes, DPOC, Hipertensão arterial, Obesidade, Pré-natal, Puericultura, Puerpério (até 42 dias), Saúde sexual e reprodutiva, Tabagismo, Usuário de álcool, Usuário de outras drogas, Saúde mental, Reabilitação, D.Transmissíveis - Dengue, Doenças transmissíveis - DST, D.Transmissíveis - Hanseníase, D.Transmissíveis - Tuberculose, Rast. câncer de mama, Rast. câncer do colo do útero, Rast. risco cardiovascular."


Uf;Ibge;Municipio;Asma;Desnutrição;Diabetes;DPOC;Hipertensão arterial;Obesidade;Pré-natal;Puericultura;Puerpério (até 42 dias);Saúde sexual e reprodutiva;Tabagismo;Usuário de álcool;Usuário de outras drogas;Saúde mental;Reabilitação;D.Transmissíveis - Dengue;Doenças transmissíveis - DST;D.Transmissíveis - Hanseníase;D.Transmissíveis - Tuberculose;Rast. câncer de mama;Rast. câncer do colo do útero;Rast. risco cardiovascular;
MG;311330;CARANGOLA;0;12;71;1;224;11;94;54;12;61;2;9;1;520;224;0;11;0;0;40;64;18;
MG;310520;BANDEIRA;1;3;17;2;76;10;57;125;2;26;1;0;0;35;7;0;1;0;0;0;0;2;
RS;430060;ALVORADA;133;81;753;69;1.487;140;813;1.752;47;618;80;14;22;1.019;863;0;119;0;11;14;62;44;
MG;311995;CÓRREGO FUNDO;8;12;75;4;91;9;37;134;1;5;5;0;0;173;0;0;0;2;0;1;0;0;
PR;411690;NOVA ESPERANÇA;4;20;121;2;167;8;172;350;0;9;2;1;2;153;2;4;9;2;4;2;1;0;
TO;170130;ARAGOMINAS;3;5;31;0;104;4;54;70;3;10;2;2;0;90;0;1;1;0;0;1;4;1;
BA;292400;PAULO AFONSO;53;76;1.242;33;2.979;293;919;1.745;77;887;39;16;12;2.025;626;41;62;11;20;72;146;26;
PE;261050;PASSIRA;68;60;1.056;20;1.622;79;278;717;33;659;31;14;4;722;131;24;28;72;23;32;200;278;
SC;420800;ITÁ;7;23;31;2;57;13;119;277;1;25;4;3;0;56;0;0;3;0;2;0;2;0;
PE;261220;SALGUEIRO;21;12;234;7;473;131;665;675;3;127;7;9;8;692;0;3;9;4;16;4;1;0;
SC;421720;SÃO MIGUEL DO OESTE;22;10;97;14;293;88;197;961;3;94;2;10;3;325;0;0;4;0;0;3;5;0;
MG;315340;PRESIDENTE OLEGÁRIO;1;26;84;8;151;100;12;2;0;27;1;0;1;356;54;0;0;2;0;0;0;0;
MA;210005;AÇAILÂNDIA;7;125;347;5;624;12;924;1.474;3;347;8;10;0;370;15;0;8;4;0;11;9;0;
MG;314640;PAINEIRAS;3;1;20;0;68;17;14;98;6;1;2;5;1;280;53;0;1;0;0;0;0;0;
MA;210360;COROATÁ;1;44;459;37;895;69;453;768;31;1.458;18;1;13;561;288;0;3;9;2;7;8;76;
MG;313950;MANHUMIRIM;26;17;175;14;733;72;174;130;7;383;17;22;4;614;2.048;0;2;0;6;3;2;3;
PR;411800;PARAÍSO DO NORTE;9;0;43;7;73;2;201;497;44;13;0;2;3;261;2;3;10;0;0;15;207;1;
BA;292935;SÃO JOSÉ DA VITÓRIA;1;4;48;4;98;8;64;103;4;17;3;0;0;64;88;2;2;0;0;0;5;4;
RO;110094;CUJUBIM;2;1;12;0;3;3;108;71;1;6;0;1;0;13;26;0;1;0;2;0;0;0;
PA;150808;TUCUMÃ;3;4;63;3;269;19;363;315;13;695;0;1;0;128;550;0;3;5;5;1;10;13;
MG;316120;SÃO FRANCISCO DE PAULA;0;17;38;4;21;18;30;126;0;7;3;2;0;15;32;0;0;0;0;0;0;0;
SP;352030;IGUAPE;15;7;200;14;440;16;126;206;13;268;12;10;15;247;73;1;13;2;4;6;5;4;
RN;240550;JARDIM DE ANGICOS;0;0;4;0;13;6;13;63;0;12;0;0;0;19;0;0;0;0;0;0;0;0;
PA;150293;DOM ELISEU;6;29;234;1;425;32;412;289;0;62;12;0;1;116;0;1;4;8;9;2;1;0;
AL;270750;PORTO REAL DO COLÉGIO;2;7;323;7;868;23;160;148;26;381;11;10;1;463;84;0;1;1;3;33;47;1;
PE;261618;VERTENTE DO LÉRIO;0;0;48;0;139;6;84;562;0;125;5;0;0;102;23;0;4;0;2;3;1;12;
TO;170030;AGUIARNÓPOLIS;0;1;1;0;6;0;25;2;4;1;0;0;0;2;72;0;0;0;0;0;0;0;
PR;410230;BALSA NOVA;11;8;15;9;42;3;46;188;0;20;3;5;1;125;0;0;0;0;2;0;7;0;
MG;311540;CATAS ALTAS DA NORUEGA;2;7;19;0;50;8;29;55;0;3;0;1;0;29;0;0;0;0;0;0;0;0;
