MS/SAPS/Departamento de Saúde da Família ­ DESF 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
Competência: JAN/2021.
Tipo de Produção: Atendimento Individual.
"Probl/ Condição Avaliada: Asma, Desnutrição, Diabetes, DPOC, Hipertensão arterial, Obesidade, Pré-natal, Puericultura, Puerpério (até 42 dias), Saúde sexual e reprodutiva, Tabagismo, Usuário de álcool, Usuário de outras drogas, Saúde mental, Reabilitação, D.Transmissíveis - Dengue, Doenças transmissíveis - DST, D.Transmissíveis - Hanseníase, D.Transmissíveis - Tuberculose, Rast. câncer de mama, Rast. câncer do colo do útero, Rast. risco cardiovascular."


Uf;Ibge;Municipio;Asma;Desnutrição;Diabetes;DPOC;Hipertensão arterial;Obesidade;Pré-natal;Puericultura;Puerpério (até 42 dias);Saúde sexual e reprodutiva;Tabagismo;Usuário de álcool;Usuário de outras drogas;Saúde mental;Reabilitação;D.Transmissíveis - Dengue;Doenças transmissíveis - DST;D.Transmissíveis - Hanseníase;D.Transmissíveis - Tuberculose;Rast. câncer de mama;Rast. câncer do colo do útero;Rast. risco cardiovascular;
BA;292380;PARIPIRANGA;5;5;76;3;171;13;152;49;5;206;1;6;0;110;4;0;1;0;0;31;3;0;
PE;261160;RECIFE;299;251;3.732;82;7.612;804;3.789;8.791;53;1.659;85;64;68;3.400;479;9;173;60;375;37;107;70;
SC;421125;MORRO GRANDE;0;0;0;0;2;0;38;555;3;0;0;3;0;2;62;0;0;0;0;0;0;0;
RN;240710;MACAÍBA;42;14;650;13;1.258;121;404;240;16;882;32;20;14;1.565;420;2;11;0;9;32;69;1;
BA;291005;DIAS D'ÁVILA;13;14;424;9;893;59;477;140;27;591;17;7;4;335;55;0;12;3;11;18;14;30;
MA;210637;MARANHÃOZINHO;0;5;104;0;208;10;90;77;4;24;1;1;0;17;3;0;3;2;1;0;2;8;
MG;311940;CORONEL FABRICIANO;32;71;674;27;1.625;444;470;229;43;595;27;17;15;1.514;404;7;42;0;2;88;134;2;
PE;261370;SÃO LOURENÇO DA MATA;25;17;232;5;533;20;178;87;2;165;6;11;6;418;116;0;3;3;6;14;16;26;
SP;355250;SUZANO;288;78;2.314;145;4.444;481;2.015;3.269;203;2.822;90;50;63;3.537;1.024;0;42;3;21;0;298;3;
PB;251420;SÃO JOSÉ DA LAGOA TAPADA;2;9;65;2;69;10;59;41;1;12;1;0;0;22;43;0;0;2;0;0;0;0;
CE;231070;PENTECOSTE;12;13;482;10;1.113;70;358;281;29;506;12;2;1;913;33;2;12;2;9;34;44;145;
MA;211150;SÃO MATEUS DO MARANHÃO;4;17;265;7;804;17;354;257;17;556;8;1;3;221;143;0;2;9;0;1;14;1;
BA;290740;CATOLÂNDIA;0;1;14;1;37;2;46;7;2;42;0;2;0;8;0;1;4;1;0;13;21;7;
MG;314490;NOVA MÓDICA;1;3;18;0;38;1;21;57;0;7;4;1;0;22;46;0;0;0;0;0;0;0;
SP;355645;VARGEM GRANDE PAULISTA;9;13;293;4;280;41;215;1.220;3;43;2;3;2;102;3;0;8;0;1;3;3;2;
PA;150795;TAILÂNDIA;6;16;211;1;478;42;435;535;13;96;4;1;0;583;704;0;0;67;19;0;58;1;
SP;353540;PANORAMA;2;4;240;0;656;38;144;563;1;5;1;4;0;113;3;5;3;3;5;2;7;3;
SP;353850;PIQUETE;2;0;132;2;250;5;35;13;6;102;5;5;1;137;211;0;3;0;0;6;16;14;
PE;260350;CAMOCIM DE SÃO FÉLIX;2;9;104;0;215;17;161;122;6;47;5;4;0;244;23;0;5;0;1;1;2;6;
PB;251080;PATOS;25;42;449;21;856;61;845;594;8;210;27;16;3;894;123;0;32;2;17;24;31;0;
PR;411770;PALMEIRA;3;14;91;9;205;20;153;247;2;70;10;7;1;233;0;0;3;0;0;7;54;0;
SC;420670;HERVAL D'OESTE;9;59;137;20;193;23;185;828;5;47;8;7;3;311;96;0;22;0;1;3;6;0;
BA;292805;SANTA LUZIA;1;5;109;4;351;13;54;59;3;65;6;6;1;123;115;0;0;1;3;0;0;0;
MG;311350;CARBONITA;0;3;53;1;143;31;56;277;2;9;4;5;1;34;10;0;2;0;0;7;6;30;
RO;110015;OURO PRETO DO OESTE;1;1;44;2;93;4;82;33;0;5;3;0;0;36;0;0;3;17;7;0;0;0;
GO;522150;TURVÂNIA;1;8;29;0;66;2;48;56;0;13;0;1;0;61;2;0;1;1;0;0;0;0;
PB;250415;CASSERENGUE;5;8;89;1;297;32;57;228;2;76;4;1;0;178;81;0;1;0;0;4;11;5;
GO;520470;CAMPINORTE;0;8;74;1;73;4;73;50;1;8;0;0;0;75;56;32;8;1;0;0;4;0;
MG;311660;CLÁUDIO;12;17;156;0;414;117;94;241;0;30;12;13;0;181;0;3;4;0;0;1;0;0;
PE;260980;OROCÓ;5;11;144;0;258;30;187;259;2;92;16;3;0;113;53;0;4;2;1;1;0;0;
PI;220610;MATIAS OLÍMPIO;2;1;43;1;109;0;60;100;1;4;0;0;0;46;154;0;1;1;0;0;0;0;
SP;354325;RIBEIRÃO GRANDE;7;2;128;1;354;0;75;237;0;18;2;6;4;177;23;1;0;0;0;1;0;0;
SC;420915;JOSÉ BOITEUX;0;0;0;0;2;2;10;26;0;0;0;1;2;11;0;0;1;0;0;0;0;0;
AM;130110;CAREIRO;9;10;170;7;475;40;192;236;2;254;7;0;1;89;1.120;0;2;2;0;13;19;21;
MG;312440;ESPÍRITO SANTO DO DOURADO;1;1;4;0;1;0;56;148;0;10;0;1;0;2;0;0;0;0;0;0;0;0;
PR;410340;CAFEARA;1;0;1;1;4;0;13;132;0;1;0;3;0;31;0;4;1;0;0;0;0;0;
PI;220177;BOA HORA;0;0;10;0;31;3;20;45;0;18;0;0;0;12;16;0;0;0;0;1;2;0;
PB;251480;SÃO JOSÉ DOS CORDEIROS;0;3;6;0;23;17;12;15;0;1;0;0;0;27;0;0;0;0;0;0;0;0;
BA;290150;ANGUERA;0;3;75;1;168;8;39;108;0;22;1;1;0;44;4;0;2;0;1;0;0;0;
SP;352180;ITAÍ;4;5;75;8;133;1;132;174;5;59;0;0;1;339;3;0;2;0;0;3;62;2;
PR;412240;ROLÂNDIA;52;17;597;16;953;114;1.298;420;47;456;28;16;12;400;13.746;428;8;2;7;105;192;42;
AL;270235;CRAÍBAS;1;6;213;6;587;73;278;241;23;397;14;1;3;403;109;0;2;0;0;18;26;4;
