MS/SAPS/Departamento de Saúde da Família ­ DESF 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
Competência: ABR/2021.
Tipo de Produção: Atendimento Individual.
"Probl/ Condição Avaliada: Asma, Desnutrição, Diabetes, DPOC, Hipertensão arterial, Obesidade, Pré-natal, Puericultura, Puerpério (até 42 dias), Saúde sexual e reprodutiva, Tabagismo, Usuário de álcool, Usuário de outras drogas, Saúde mental, Reabilitação, D.Transmissíveis - Dengue, Doenças transmissíveis - DST, D.Transmissíveis - Hanseníase, D.Transmissíveis - Tuberculose, Rast. câncer de mama, Rast. câncer do colo do útero, Rast. risco cardiovascular."


Uf;Ibge;Municipio;Asma;Desnutrição;Diabetes;DPOC;Hipertensão arterial;Obesidade;Pré-natal;Puericultura;Puerpério (até 42 dias);Saúde sexual e reprodutiva;Tabagismo;Usuário de álcool;Usuário de outras drogas;Saúde mental;Reabilitação;D.Transmissíveis - Dengue;Doenças transmissíveis - DST;D.Transmissíveis - Hanseníase;D.Transmissíveis - Tuberculose;Rast. câncer de mama;Rast. câncer do colo do útero;Rast. risco cardiovascular;
PA;150390;JURUTI;6;101;73;20;235;9;544;676;47;527;2;1;1;80;570;0;2;3;2;2;38;10;
PA;150808;TUCUMÃ;9;1;113;6;386;26;406;370;27;489;0;2;2;136;1.189;2;5;13;1;6;33;2;
BA;292400;PAULO AFONSO;27;82;1.079;42;2.252;212;777;1.350;52;585;28;11;11;1.400;540;1;11;4;9;61;135;5;
BA;292320;OLIVEIRA DOS BREJINHOS;2;8;49;3;164;16;167;512;9;186;4;0;1;222;60;0;2;0;3;0;57;0;
PR;412520;SÃO JORGE D'OESTE;7;0;17;2;55;2;161;141;4;1;0;7;3;182;0;0;1;0;0;0;1;0;
SP;350250;APARECIDA;18;10;301;11;543;14;224;201;35;257;18;9;8;451;235;5;48;0;19;74;87;35;
MG;315290;PRATÁPOLIS;0;6;126;4;259;89;34;131;1;8;9;6;0;151;1.036;1;0;2;0;29;33;2;
MG;316720;SETE LAGOAS;70;137;618;35;1.194;238;668;1.301;28;258;20;17;7;1.242;437;97;26;5;0;67;241;3;
MG;312870;GUAXUPÉ;2;8;79;6;262;16;142;3;3;18;15;0;0;150;142;0;0;0;0;1;8;0;
MG;314640;PAINEIRAS;0;2;6;4;33;3;5;65;1;2;2;2;1;44;39;0;1;0;0;0;0;0;
PR;411180;JACAREZINHO;19;1;68;2;218;7;542;58;28;77;3;3;8;367;18;1;4;0;0;192;236;8;
SP;350830;CABRÁLIA PAULISTA;4;5;70;4;139;24;55;62;4;64;4;3;1;123;1.365;2;11;1;1;17;41;56;
PR;411800;PARAÍSO DO NORTE;4;1;25;1;35;0;137;166;28;8;0;3;5;203;0;4;3;0;2;14;59;0;
PA;150460;MOCAJUBA;3;6;79;2;185;9;247;376;12;290;2;1;1;74;200;0;2;5;1;1;2;0;
CE;231040;PARAMOTI;7;8;145;5;336;64;74;56;5;234;5;3;0;415;46;2;1;0;0;7;5;12;
TO;170300;BABAÇULÂNDIA;1;2;33;0;113;0;66;79;0;11;0;0;0;39;132;1;1;1;0;1;0;0;
MA;210005;AÇAILÂNDIA;4;71;184;3;307;18;667;1.071;6;185;4;2;0;332;5;0;24;1;0;5;5;0;
CE;231350;TRAIRI;20;25;287;15;808;28;496;36;10;134;1;2;0;184;298;0;12;0;7;9;8;30;
PR;411820;PARANAGUÁ;25;16;190;7;374;9;661;112;14;142;4;5;11;350;568;63;18;0;1;19;52;0;
PB;250905;MARCAÇÃO;0;0;29;5;84;9;55;58;3;60;0;0;0;114;91;2;37;0;0;0;60;0;
PB;250480;COREMAS;2;3;73;3;107;7;117;287;9;5;1;1;1;56;97;0;2;1;0;1;0;0;
PB;251520;SÃO SEBASTIÃO DO UMBUZEIRO;7;6;54;1;136;9;32;123;5;29;0;0;0;28;0;0;0;0;0;0;1;0;
RN;240930;PATU;2;1;38;2;93;8;66;82;1;22;1;7;0;164;105;0;0;0;1;1;2;0;
MA;210360;COROATÁ;5;66;345;19;734;36;392;584;10;481;5;2;3;305;220;0;6;5;2;6;36;52;
