MS/SAPS/Departamento de Saúde da Família ­ DESF 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
Competência: JUN/2022.
Tipo de Produção: Atendimento Individual.
"Probl/ Condição Avaliada: Asma, Desnutrição, Diabetes, DPOC, Hipertensão arterial, Obesidade, Pré-natal, Puericultura, Puerpério (até 42 dias), Saúde sexual e reprodutiva, Tabagismo, Usuário de álcool, Usuário de outras drogas, Saúde mental, Reabilitação, D.Transmissíveis - Dengue, Doenças transmissíveis - DST, D.Transmissíveis - Hanseníase, D.Transmissíveis - Tuberculose, Rast. câncer de mama, Rast. câncer do colo do útero, Rast. risco cardiovascular."


Uf;Ibge;Municipio;Asma;Desnutrição;Diabetes;DPOC;Hipertensão arterial;Obesidade;Pré-natal;Puericultura;Puerpério (até 42 dias);Saúde sexual e reprodutiva;Tabagismo;Usuário de álcool;Usuário de outras drogas;Saúde mental;Reabilitação;D.Transmissíveis - Dengue;Doenças transmissíveis - DST;D.Transmissíveis - Hanseníase;D.Transmissíveis - Tuberculose;Rast. câncer de mama;Rast. câncer do colo do útero;Rast. risco cardiovascular;
RS;430060;ALVORADA;237;142;1.201;102;2.376;180;796;6.709;5;262;100;9;12;1.002;44;6;127;0;10;2;1;0;
PE;261220;SALGUEIRO;33;13;516;7;1.015;57;551;1.142;0;70;10;8;13;338;2;15;14;1;17;3;0;5;
AM;130008;ANAMÃ;2;6;47;0;140;4;116;833;1;34;0;0;0;13;0;0;3;0;3;0;1;0;
SP;350250;APARECIDA;11;6;628;22;1.404;20;203;377;16;264;362;124;35;361;115;10;40;0;35;77;117;117;
RS;431395;PANTANO GRANDE;13;7;348;15;846;21;156;182;9;66;1;12;1;259;17;1;17;1;2;15;8;8;
MG;316720;SETE LAGOAS;110;77;753;25;1.865;174;712;1.609;10;330;42;23;12;1.245;301;40;58;1;6;84;150;1;
PR;411800;PARAÍSO DO NORTE;41;1;83;23;254;5;155;1.392;14;10;6;2;2;205;5;55;9;0;0;21;195;3;
MG;312870;GUAXUPÉ;8;7;361;22;747;22;236;6;11;361;16;1;1;239;115;20;3;0;0;3;3;0;
PR;411180;JACAREZINHO;25;0;999;13;1.802;25;529;326;40;95;9;3;5;525;46;47;9;1;0;166;0;0;
MG;313865;LONTRA;7;1;130;4;287;2;110;102;7;6;4;6;1;130;0;42;0;1;1;1;80;0;
RS;432000;SAPUCAIA DO SUL;225;73;715;86;1.337;155;492;979;77;978;80;19;18;1.767;1.711;35;126;3;41;268;461;17;
MA;210360;COROATÁ;3;98;675;29;1.195;47;663;1.675;17;493;19;14;3;225;380;2;11;14;13;14;35;24;
MG;315290;PRATÁPOLIS;5;7;149;5;319;67;90;217;2;114;5;2;0;70;1.512;6;0;0;0;36;53;0;
SC;421720;SÃO MIGUEL DO OESTE;29;14;253;33;847;102;231;1.146;3;76;20;10;1;415;15;21;8;0;4;3;0;36;
CE;231350;TRAIRI;8;22;528;20;1.123;11;613;522;32;356;2;0;0;330;730;6;5;0;10;74;173;20;
MG;316120;SÃO FRANCISCO DE PAULA;2;10;427;6;414;37;65;313;1;6;1;3;0;47;0;0;2;0;1;0;0;0;
MG;317075;VARJÃO DE MINAS;2;1;34;1;82;9;37;156;2;14;9;4;1;114;15;0;2;0;0;0;0;0;
BA;292320;OLIVEIRA DOS BREJINHOS;2;7;73;4;237;13;124;319;11;132;1;3;2;117;10;0;2;3;1;3;31;0;
SP;350830;CABRÁLIA PAULISTA;5;2;118;3;297;19;65;259;1;132;2;1;3;133;2.224;6;6;0;0;61;108;29;
RJ;330620;VASSOURAS;32;7;393;4;970;44;136;879;4;211;23;9;1;248;428;2;29;0;1;11;26;18;
MT;510558;MARCELÂNDIA;1;0;342;2;1.559;23;356;97;46;486;135;14;6;857;104;22;107;19;0;16;572;1;
MA;210005;AÇAILÂNDIA;10;117;342;3;570;16;750;1.714;10;179;2;2;2;93;11;14;20;1;0;0;9;0;
MG;310130;ALAGOA;1;1;22;2;91;2;8;110;0;1;6;1;0;37;0;0;0;0;0;0;0;0;
PE;261618;VERTENTE DO LÉRIO;1;4;126;1;374;4;81;842;0;31;0;1;0;23;0;0;0;0;0;0;1;0;
PA;150307;GARRAFÃO DO NORTE;6;38;268;4;560;40;273;333;7;53;5;1;0;195;0;0;4;1;6;1;4;0;
PB;250480;COREMAS;4;8;328;0;576;10;97;530;0;1;2;0;0;70;83;11;1;0;0;0;0;0;
MG;310550;BARÃO DE MONTE ALTO;12;25;97;1;245;62;19;63;3;30;32;13;5;274;211;2;1;0;1;6;24;0;
