MS/SAPS/Departamento de Saúde da Família ­ DESF 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
Competência: OUT/2022.
Tipo de Produção: Atendimento Individual.
"Probl/ Condição Avaliada: Asma, Desnutrição, Diabetes, DPOC, Hipertensão arterial, Obesidade, Pré-natal, Puericultura, Puerpério (até 42 dias), Saúde sexual e reprodutiva, Tabagismo, Usuário de álcool, Usuário de outras drogas, Saúde mental, Reabilitação, D.Transmissíveis - Dengue, Doenças transmissíveis - DST, D.Transmissíveis - Hanseníase, D.Transmissíveis - Tuberculose, Rast. câncer de mama, Rast. câncer do colo do útero, Rast. risco cardiovascular."


Uf;Ibge;Municipio;Asma;Desnutrição;Diabetes;DPOC;Hipertensão arterial;Obesidade;Pré-natal;Puericultura;Puerpério (até 42 dias);Saúde sexual e reprodutiva;Tabagismo;Usuário de álcool;Usuário de outras drogas;Saúde mental;Reabilitação;D.Transmissíveis - Dengue;Doenças transmissíveis - DST;D.Transmissíveis - Hanseníase;D.Transmissíveis - Tuberculose;Rast. câncer de mama;Rast. câncer do colo do útero;Rast. risco cardiovascular;
SP;351520;ESTRELA D'OESTE;3;15;216;9;446;21;69;831;4;77;2;1;1;496;55;0;4;2;7;2;19;13;
BA;292660;RIBEIRA DO POMBAL;10;70;680;3;1.435;53;483;1.094;12;468;23;8;1;236;417;0;6;1;5;45;80;34;
SP;351380;DIADEMA;337;154;2.475;120;4.746;592;2.065;10.321;16;444;174;166;125;2.589;523;1;172;4;142;84;285;30;
SP;351840;GUARATINGUETÁ;45;15;317;21;482;65;478;1.085;2;76;4;6;8;470;0;3;12;0;1;23;244;10;
RS;430170;BARÃO DE COTEGIPE;8;7;66;2;176;11;42;565;1;16;1;19;4;92;0;0;3;0;0;0;0;0;
MG;314990;PERDÕES;18;35;466;2;944;51;52;485;2;35;29;16;2;352;0;2;1;0;2;0;0;27;
CE;230330;CARIÚS;6;11;256;2;651;11;161;502;1;177;8;7;1;552;229;0;3;3;1;25;36;10;
MA;211223;TRIZIDELA DO VALE;3;3;229;7;581;27;199;513;1;212;10;1;0;104;3;0;0;0;3;13;3;0;
CE;230250;BREJO SANTO;19;43;455;11;1.053;59;545;659;15;344;33;17;1;775;96;2;9;3;0;173;143;3;
SP;352100;IPERÓ;43;72;385;15;719;51;283;1.394;8;160;13;7;8;433;49;0;7;0;44;78;266;0;
AL;270730;PORTO CALVO;8;5;793;2;1.449;23;316;988;2;268;6;4;1;194;89;1;6;0;1;0;0;0;
ES;320440;RIO NOVO DO SUL;10;7;213;6;390;4;58;448;2;43;3;0;3;126;0;0;1;0;3;48;0;2;
TO;172010;SÃO BENTO DO TOCANTINS;1;5;77;2;167;7;82;46;0;31;0;1;1;63;1;1;6;1;0;0;0;0;
PB;250860;LUCENA;7;7;141;2;227;12;150;309;5;151;0;0;0;106;3;0;7;0;1;17;3;0;
SP;350280;ARAÇATUBA;146;140;3.230;127;5.873;94;1.282;1.502;71;377;38;24;24;2.653;121;251;135;5;85;1.482;2.123;12;
MT;510850;VERA;3;14;130;12;246;23;119;256;0;14;4;12;2;56;3;2;9;0;5;11;4;6;
PI;220020;ÁGUA BRANCA;3;8;295;0;850;14;150;437;4;16;4;2;0;148;52;0;2;0;1;0;4;0;
PI;220730;PAES LANDIM;1;1;69;0;267;0;34;42;0;0;0;0;0;42;69;0;3;0;0;0;1;0;
PB;250820;LAGOA DE DENTRO;1;0;47;0;134;2;68;237;0;1;0;0;0;42;0;0;0;1;0;12;0;0;
GO;520080;ALVORADA DO NORTE;0;6;34;0;135;24;77;136;1;39;2;2;0;219;36;0;3;0;1;0;0;0;
RS;432270;VERA CRUZ;15;20;241;23;627;40;293;1.253;1;10;24;3;2;245;0;0;18;1;3;0;94;0;
BA;290800;COARACI;7;32;600;2;1.167;28;127;598;1;130;6;2;0;191;4;1;6;0;0;7;0;0;
RS;431950;SÃO SEBASTIÃO DO CAÍ;40;13;833;51;2.265;32;217;175;7;68;14;0;0;70;23;0;71;0;6;59;400;0;
MG;317052;URUCUIA;3;15;40;0;216;17;104;224;1;48;7;4;2;185;1;0;2;0;0;0;0;0;
SP;351980;ICÉM;7;22;176;2;338;3;32;263;0;7;3;0;0;50;106;0;16;0;12;1;102;0;
PI;220170;BERTOLÍNIA;2;0;113;0;231;1;58;61;2;9;1;1;0;40;0;0;0;0;0;83;0;0;
SC;421360;PORTO UNIÃO;22;49;352;17;689;46;320;1.656;2;18;17;11;7;156;1;0;9;0;0;7;32;0;
SP;352910;MARINÓPOLIS;0;4;61;9;54;10;29;141;0;22;0;1;0;66;0;1;1;0;0;1;0;0;
RS;430050;ALPESTRE;1;6;99;5;700;5;55;418;2;11;2;15;7;449;0;0;0;0;0;2;81;1;
PE;260345;CAMARAGIBE;42;84;683;26;1.363;138;600;1.799;20;490;30;14;4;679;137;4;26;15;39;108;146;0;
MA;210900;PORTO FRANCO;6;37;120;0;269;16;226;236;13;223;1;1;1;206;77;1;2;5;3;6;29;14;
BA;293160;TEOLÂNDIA;3;9;197;0;290;14;116;290;2;123;2;2;0;44;0;0;6;0;0;1;0;0;
RJ;330250;MAGÉ;43;68;1.140;11;2.468;169;1.135;8.347;18;387;19;16;14;709;6;0;65;2;74;4;104;0;
BA;292180;MORTUGABA;8;15;128;3;384;12;92;357;0;23;8;8;0;183;81;0;2;0;0;14;5;0;
CE;230930;NOVA RUSSAS;8;43;429;5;1.062;84;320;845;2;285;5;3;0;925;62;0;23;5;6;16;4;1;
MG;312580;FERNANDES TOURINHO;1;14;67;5;125;31;38;449;0;6;5;1;0;105;0;0;1;0;0;0;0;0;
RS;430745;ESPERANÇA DO SUL;1;2;62;2;164;20;24;94;1;13;0;2;0;86;0;0;0;0;0;1;0;0;
AL;270375;JEQUIÁ DA PRAIA;6;12;280;1;718;48;120;471;5;131;5;1;0;167;2;2;3;0;0;23;10;0;
MG;315260;POUSO ALTO;1;6;51;0;63;19;70;127;1;27;1;3;0;35;0;0;1;0;2;1;0;0;
PE;260060;ALAGOINHA;5;9;181;1;329;12;166;500;1;45;6;1;0;131;192;0;2;0;1;0;0;1;
BA;292120;MIGUEL CALMON;3;48;259;0;773;71;197;1.023;1;182;7;2;0;60;0;0;3;1;6;5;40;1;
AL;270260;FEIRA GRANDE;13;8;377;1;863;132;261;1.019;1;62;4;0;0;241;3;1;3;2;0;41;10;1;
RS;432330;VILA FLORES;13;10;52;4;181;5;62;251;0;0;3;1;0;52;0;0;2;0;0;0;28;0;
SP;350770;BRAÚNA;5;3;115;3;339;13;89;6;1;263;7;3;0;75;1.016;2;7;0;1;4;158;0;
RO;110150;SERINGUEIRAS;1;22;57;4;159;7;178;311;1;26;0;0;0;54;4;0;6;2;1;1;4;0;
RJ;330340;NOVA FRIBURGO;16;61;395;18;793;90;433;892;3;232;50;14;6;328;96;0;6;0;1;170;25;4;
PI;220025;ALAGOINHA DO PIAUÍ;1;4;140;2;246;6;40;130;1;4;1;0;0;49;0;0;1;0;0;0;0;0;
PA;150550;PARAGOMINAS;41;41;523;10;1.109;73;723;1.060;59;925;15;7;6;421;74;4;89;31;33;65;227;21;
PI;220415;FRANCISCO MACEDO;1;2;95;0;290;1;23;60;0;17;3;2;0;32;99;0;0;0;0;0;0;0;
ES;320280;ITAPEMIRIM;3;4;461;2;716;4;308;47;17;44;1;2;4;137;1;0;5;0;0;183;338;1;
TO;171190;LAGOA DA CONFUSÃO;2;14;125;1;236;11;132;295;1;22;3;1;1;140;39;0;15;5;5;1;3;0;
SP;354970;SÃO JOSÉ DO RIO PARDO;23;51;239;11;364;104;353;1.622;1;42;10;12;6;252;33;7;12;0;5;2;14;0;
ES;320455;SANTA MARIA DE JETIBÁ;10;4;197;0;701;9;154;409;1;61;13;4;4;96;96;0;2;0;1;1;0;0;
BA;292820;SANTANA;1;3;101;0;274;1;155;170;3;301;3;3;0;12;17;0;0;0;0;2;0;0;
MG;313030;IGUATAMA;3;3;149;0;482;15;73;615;0;4;0;1;0;60;436;1;0;1;0;3;0;0;
MG;315280;PRATA;11;9;251;18;339;51;90;381;20;169;31;4;0;522;457;1;9;1;2;62;115;28;
PI;220192;BONFIM DO PIAUÍ;5;11;171;0;449;29;65;186;1;33;3;9;0;67;29;0;0;0;0;69;4;19;
TO;170290;AXIXÁ DO TOCANTINS;4;17;101;0;249;4;76;83;4;16;1;2;2;32;108;1;2;1;0;0;7;0;
MA;210405;ESTREITO;4;22;138;2;401;64;351;312;3;52;4;1;2;58;26;0;13;4;7;0;18;0;
PI;220105;ASSUNÇÃO DO PIAUÍ;9;6;70;0;408;13;42;56;4;54;1;0;0;45;4;0;7;0;0;0;0;0;
BA;291220;IBICOARA;8;12;339;4;1.085;20;282;884;3;115;1;8;0;82;46;0;9;0;0;0;0;0;
AM;130020;ATALAIA DO NORTE;3;3;54;0;135;13;131;96;0;128;0;0;0;5;0;6;2;0;0;10;27;24;
RS;431515;PROGRESSO;4;0;35;6;48;11;37;302;0;22;1;2;0;138;1;0;1;0;4;0;0;0;
TO;171360;MONTE DO CARMO;5;3;76;3;178;6;43;177;0;28;1;1;0;32;0;0;1;0;0;0;0;0;
BA;291280;IBIRAPUÃ;8;2;78;1;237;28;100;117;1;25;1;1;0;30;0;3;1;0;1;0;1;0;
PB;251580;SERRA REDONDA;2;7;50;1;109;5;78;71;3;17;0;0;0;67;62;2;1;0;0;0;0;0;
MG;315750;SANTA EFIGÊNIA DE MINAS;8;11;79;11;237;56;31;20;6;23;17;10;1;247;68;0;0;0;1;11;6;3;
MA;210240;CAJAPIÓ;1;1;58;1;196;22;53;1.044;2;249;0;1;0;26;1;0;0;0;0;6;24;0;
SP;353250;NEVES PAULISTA;2;0;63;6;177;1;20;4;0;0;0;7;0;30;0;0;0;0;0;0;110;0;
RN;240840;OLHO-D'ÁGUA DO BORGES;3;7;23;1;79;7;29;141;2;15;0;3;1;139;16;0;0;0;0;0;0;0;
TO;171550;OLIVEIRA DE FÁTIMA;2;1;5;1;28;3;25;53;1;3;0;0;0;28;0;0;0;0;1;1;10;0;
GO;520915;GOUVELÂNDIA;0;5;27;1;6;5;6;206;0;112;0;1;0;24;4;0;1;1;0;106;19;0;
SE;280160;CEDRO DE SÃO JOÃO;2;0;288;0;96;3;33;34;3;109;1;2;1;44;150;0;8;0;0;27;26;0;
MG;313507;JAMPRUCA;2;4;17;4;50;5;39;57;1;27;2;1;0;34;1;0;0;0;0;15;16;0;
PI;220779;PAU D'ARCO DO PIAUÍ;0;0;3;0;11;1;19;10;1;29;0;0;0;1;60;0;0;0;0;0;0;0;
RN;240380;FLORÂNIA;1;2;57;0;139;11;53;28;8;85;2;1;0;414;5;0;2;0;0;5;4;0;
MA;210237;CACHOEIRA GRANDE;0;6;133;6;251;4;81;230;7;366;1;0;2;139;248;0;1;0;0;0;17;0;
SC;420570;GAROPABA;24;67;125;10;269;28;161;1.820;0;16;8;9;2;215;0;0;12;0;0;19;3;0;
PR;411930;PINHÃO;65;8;281;17;725;3;454;487;32;116;163;6;1;238;2;0;1;0;0;142;237;49;
SP;351030;CAPELA DO ALTO;9;5;148;5;263;13;163;145;11;421;4;1;3;334;33;0;0;0;0;93;356;2;
SP;350860;CACHOEIRA PAULISTA;9;6;317;12;715;63;80;96;15;202;159;54;7;294;271;0;16;0;0;64;131;14;
RN;240933;SANTA MARIA;2;2;73;5;206;5;35;75;3;188;1;1;4;109;81;1;8;0;0;15;36;2;
PR;410330;BORRAZÓPOLIS;7;4;273;1;540;0;44;36;9;1;79;11;0;134;0;0;12;0;0;134;204;82;
RN;240160;BENTO FERNANDES;0;2;7;0;14;0;35;147;0;50;0;0;0;7;0;0;0;0;0;0;0;0;
MG;311850;CONSOLAÇÃO;0;1;25;0;0;0;6;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;
PR;410345;CAFELÂNDIA;37;14;160;9;467;34;305;1.593;13;53;37;8;8;537;2;19;11;0;5;0;74;0;
